Running run
/home/float/g4xk7-mvbjj/HDU/hd-hws/szdl/hdu-dd/lab16_traffic_light/build/Vtraffic_light_display_unit
Time: 159, Second: 10, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 161, Second: 10, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 163, Second: 11, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 165, Second: 11, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 167, Second: 11, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 169, Second: 11, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 171, Second: 11, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 173, Second: 11, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 175, Second: 11, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 177, Second: 11, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 179, Second: 12, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 181, Second: 12, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 183, Second: 12, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 185, Second: 12, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 187, Second: 12, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 189, Second: 12, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 191, Second: 12, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 193, Second: 12, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 195, Second: 13, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 197, Second: 13, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 199, Second: 13, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 201, Second: 13, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 203, Second: 13, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 205, Second: 13, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 207, Second: 13, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 209, Second: 13, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 211, Second: 14, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 213, Second: 14, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 215, Second: 14, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 217, Second: 14, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 219, Second: 14, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 221, Second: 14, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 223, Second: 14, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 225, Second: 14, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
